source,compressor,refrigerant,bore_mm,stroke_mm,n_cyl,f_elec_Hz,T_ev_C,T_co_C,T_suc_C,DeltaT_sh_K,p_suc_bar,p_dis_bar,eta_is,eta_vol
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,20,-30,10,1.1112,8.3646,0.6434,0.6211
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,20,-25,15,1.1112,8.3646,0.6429,0.6207
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,20,-20,20,1.1112,8.3646,0.6423,0.6204
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,20,-15,25,1.1112,8.3646,0.6417,0.6202
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,20,-10,30,1.1112,8.3646,0.6414,0.6201
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,20,-5,35,1.1112,8.3646,0.6411,0.6202
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,20,0,40,1.1112,8.3646,0.6407,0.6202
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,20,5,45,1.1112,8.3646,0.6403,0.6203
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,20,10,50,1.1112,8.3646,0.6396,0.6201
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,25,-30,10,1.1112,9.5207,0.6488,0.6001
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,25,-25,15,1.1112,9.5207,0.6482,0.5998
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,25,-20,20,1.1112,9.5207,0.6477,0.5995
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,25,-15,25,1.1112,9.5207,0.6472,0.5993
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,25,-10,30,1.1112,9.5207,0.6468,0.5993
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,25,-5,35,1.1112,9.5207,0.6465,0.5995
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,25,0,40,1.1112,9.5207,0.6462,0.5998
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,25,5,45,1.1112,9.5207,0.6459,0.6001
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,25,10,50,1.1112,9.5207,0.6455,0.6004
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,30,-30,10,1.1112,10.7899,0.6484,0.5766
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,30,-25,15,1.1112,10.7899,0.648,0.5763
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,30,-20,20,1.1112,10.7899,0.6475,0.576
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,30,-15,25,1.1112,10.7899,0.647,0.5758
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,30,-10,30,1.1112,10.7899,0.6466,0.5758
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,30,-5,35,1.1112,10.7899,0.6462,0.5761
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,30,0,40,1.1112,10.7899,0.646,0.5765
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,30,5,45,1.1112,10.7899,0.6458,0.5769
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,30,10,50,1.1112,10.7899,0.6458,0.5777
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,35,-30,10,1.1112,12.1788,0.6462,0.5503
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,35,-25,15,1.1112,12.1788,0.6458,0.55
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,35,-20,20,1.1112,12.1788,0.6453,0.5498
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,35,-15,25,1.1112,12.1788,0.6449,0.5495
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,35,-10,30,1.1112,12.1788,0.6444,0.5495
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,35,-5,35,1.1112,12.1788,0.644,0.5498
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,35,0,40,1.1112,12.1788,0.6437,0.5503
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,35,5,45,1.1112,12.1788,0.6437,0.5508
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,35,10,50,1.1112,12.1788,0.644,0.5517
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,40,-30,10,1.1112,13.6942,0.6453,0.5212
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,40,-25,15,1.1112,13.6942,0.645,0.521
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,40,-20,20,1.1112,13.6942,0.6446,0.5207
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,40,-15,25,1.1112,13.6942,0.6442,0.5205
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,40,-10,30,1.1112,13.6942,0.6436,0.5204
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,40,-5,35,1.1112,13.6942,0.6431,0.5206
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,40,0,40,1.1112,13.6942,0.6429,0.521
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,40,5,45,1.1112,13.6942,0.6428,0.5215
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,40,10,50,1.1112,13.6942,0.6433,0.5223
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,45,-30,10,1.1112,15.3431,0.6492,0.4893
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,45,-25,15,1.1112,15.3431,0.6489,0.489
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,45,-20,20,1.1112,15.3431,0.6486,0.4888
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,45,-15,25,1.1112,15.3431,0.6483,0.4886
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,45,-10,30,1.1112,15.3431,0.6476,0.4884
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,45,-5,35,1.1112,15.3431,0.647,0.4884
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,45,0,40,1.1112,15.3431,0.6467,0.4886
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,45,5,45,1.1112,15.3431,0.6466,0.4889
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,45,10,50,1.1112,15.3431,0.6471,0.4896
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,50,-30,10,1.1112,17.133,0.6622,0.4544
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,50,-25,15,1.1112,17.133,0.662,0.4541
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,50,-20,20,1.1112,17.133,0.6618,0.4539
